,team,type,opponent,w_l,min,pts,fgm,fga,threepm,threepa,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,point_diff
118,MIN,vs,PHI,W,240,119,35,74,18,36,31,40,6,28,34,23,7,8,16,23,1
119,PHI,@,MIN,L,240,102,34,80,13,31,21,25,6,35,41,24,4,5,16,26,-8
120,CHI,vs,NOP,L,240,81,33,84,9,34,6,10,5,38,43,22,5,2,13,15,-30
121,NOP,@,CHI,L,240,111,38,79,11,32,24,31,11,34,45,17,4,5,15,28,-3
122,ATL,vs,MIA,W,240,111,41,80,12,32,17,21,5,31,36,23,5,3,11,20,1
123,MIA,@,ATL,L,240,110,41,93,14,45,14,17,11,34,45,30,6,3,15,23,-1
124,MIL,vs,PHX,W,240,111,43,91,15,41,10,14,9,46,55,27,8,6,10,15,30
125,PHX,@,MIL,W,240,114,44,87,4,26,22,27,9,26,35,26,8,3,6,21,3
126,DAL,vs,DEN,W,240,126,41,83,18,42,26,31,6,26,32,24,10,1,9,32,8
127,DEN,@,DAL,L,240,113,40,80,11,26,22,27,11,33,44,25,9,3,18,26,-5
128,GSW,vs,MIN,W,240,118,41,74,18,40,18,28,4,26,30,29,7,6,16,25,5
129,MIN,@,GSW,L,240,95,33,85,12,35,17,23,9,32,41,21,11,11,17,28,-9
130,UTA,vs,MEM,L,240,118,39,69,9,28,31,33,1,31,32,20,2,4,14,28,-8
131,MEM,@,UTA,W,240,104,35,83,14,37,20,31,13,35,48,22,7,9,18,20,9
132,BKN,vs,TOR,L,240,107,35,76,10,21,27,34,9,27,36,16,8,8,14,28,-7
133,TOR,@,BKN,L,265,101,38,86,13,35,12,18,9,23,32,23,9,4,11,21,-3
134,PHI,vs,CHI,W,265,104,38,74,13,31,15,20,9,37,46,18,5,3,24,21,3
135,CHI,@,PHI,W,240,114,44,89,12,25,14,15,6,37,43,25,7,5,13,20,4
136,MIL,vs,BOS,L,240,110,38,82,14,36,20,31,9,35,44,27,4,6,15,17,-4
137,BOS,@,MIL,W,240,114,39,75,11,31,25,31,7,29,36,27,7,4,14,27,7
138,MEM,vs,PHX,W,240,124,44,92,11,34,25,32,14,34,48,29,9,1,12,22,28
139,PHX,@,MEM,L,240,114,43,86,13,35,15,18,8,25,33,26,9,3,13,18,-11
140,NOP,vs,MIN,W,240,125,46,84,17,30,16,20,11,32,43,32,7,6,17,20,11
141,MIN,@,NOP,L,240,96,30,76,11,38,25,28,4,36,40,16,5,9,20,28,-28
142,MIA,vs,ATL,W,240,115,38,79,14,36,25,29,4,30,34,21,9,6,15,24,10
143,ATL,@,MIA,L,240,105,41,87,12,40,11,14,7,33,40,21,6,2,19,26,-10
144,UTA,vs,TOR,L,240,104,38,82,11,29,17,20,11,39,50,19,2,4,10,19,-6
145,TOR,@,UTA,L,240,97,38,89,11,32,10,12,13,22,35,16,7,4,11,24,-15
146,PHI,vs,DAL,W,240,112,36,69,14,30,26,30,7,34,41,20,5,12,16,18,15
147,DAL,@,PHI,W,240,110,39,83,22,47,10,13,2,29,31,22,5,2,3,19,6
148,DEN,vs,GSW,L,240,106,37,87,13,36,19,21,17,30,47,20,4,4,18,25,-20
149,GSW,@,DEN,W,240,126,46,84,17,40,17,24,6,29,35,27,10,8,9,20,20
150,MIA,vs,BOS,W,240,115,43,82,18,38,11,18,4,36,40,35,12,3,15,22,24
151,BOS,@,MIA,W,240,115,42,89,12,33,19,24,14,29,43,24,12,5,15,24,1
152,CHI,vs,ATL,L,240,86,31,96,7,37,17,19,16,37,53,17,10,3,11,22,-7
153,ATL,@,CHI,L,240,91,29,75,10,36,23,27,8,30,38,16,8,2,18,19,-24
154,NOP,vs,MIL,L,240,99,36,95,9,23,18,26,25,30,55,20,4,2,14,18,-11
155,MIL,@,NOP,W,240,93,34,84,10,38,15,23,11,47,58,19,4,6,21,21,7
156,BKN,vs,PHX,L,240,114,42,78,11,24,19,24,5,24,29,20,12,6,16,26,-1
157,PHX,@,BKN,W,240,110,42,78,10,28,16,21,5,30,35,25,6,9,10,23,11
158,MIN,vs,GSW,W,240,130,45,90,16,41,24,27,11,35,46,32,5,7,19,32,13
159,GSW,@,MIN,W,240,123,43,82,16,35,21,29,10,31,41,33,5,8,13,22,16
160,DEN,vs,DAL,L,240,107,43,93,11,35,10,13,9,26,35,26,8,3,11,22,-16
161,DAL,@,DEN,L,240,93,29,76,9,32,26,34,7,27,34,17,8,4,7,22,-6
162,MEM,vs,PHI,L,240,117,39,86,7,27,32,43,8,27,35,25,7,8,12,24,-13
163,PHI,@,MEM,W,240,131,43,84,16,32,29,34,10,29,39,29,6,4,4,18,20
164,TOR,vs,UTA,L,240,111,40,82,12,30,19,23,7,28,35,27,1,8,8,26,-20
165,UTA,@,TOR,W,240,99,36,83,7,22,20,23,13,40,53,15,3,5,14,25,6
0,ATL,vs,CLE,W,240,107,39,80,9,31,20,22,10,32,42,15,5,3,13,19,6
1,CLE,@,ATL,L,240,101,37,81,13,36,14,17,8,28,36,23,8,4,14,20,-6
2,NOP,vs,LAC,W,240,105,43,88,6,22,13,25,17,37,54,20,2,3,9,26,4
3,LAC,@,NOP,L,240,101,35,85,9,36,22,34,12,33,45,20,7,3,8,21,-4
4,ATL,vs,NOP,W,240,132,49,94,16,32,18,25,12,42,54,31,5,6,12,25,29
5,NOP,@,ATL,W,240,113,44,81,8,20,17,23,8,45,53,25,4,7,14,22,10
6,SAS,vs,CHA,L,240,103,37,91,13,34,16,22,8,26,34,19,4,3,6,20,-10
7,CHA,@,SAS,L,240,103,34,90,13,41,22,29,11,30,41,22,4,4,14,24,-29
8,CLE,vs,LAC,L,240,108,41,92,9,26,17,20,10,30,40,26,9,2,15,21,-7
9,LAC,@,CLE,L,240,104,34,78,16,35,20,27,7,32,39,19,5,5,17,28,-5
10,BKN,vs,MIN,W,240,115,45,84,9,28,16,24,10,33,43,33,9,9,14,20,7
11,MIN,@,BKN,W,240,109,36,83,14,35,23,37,12,37,49,19,10,2,13,26,5
